Level 1,Level 2,Level 3,Level 4,Level 5,Level 6
138: Temporal_Lobe (Temporal),193: superior_temporal_region (STG/STSd),194: rostral_superior_temporal_region (STGr/STSd),195: dorsal_bank_of_the_superior_temporal_sulcus (STSd),196: temporal_parietooccipital_associated_area (TPO),196: temporal_parietooccipital_associated_area (TPO)
138: Temporal_Lobe (Temporal),193: superior_temporal_region (STG/STSd),194: rostral_superior_temporal_region (STGr/STSd),195: dorsal_bank_of_the_superior_temporal_sulcus (STSd),197: area_TAa (TAa),197: area_TAa (TAa)
138: Temporal_Lobe (Temporal),193: superior_temporal_region (STG/STSd),194: rostral_superior_temporal_region (STGr/STSd),198: rostral_superior_temporal_gyrus (STGr),198: rostral_superior_temporal_gyrus (STGr),198: rostral_superior_temporal_gyrus (STGr)
138: Temporal_Lobe (Temporal),193: superior_temporal_region (STG/STSd),199: caudal_superior_temporal_gyrus (STGc),199: caudal_superior_temporal_gyrus (STGc),200: temporo-parietal_area (Tpt),200: temporo-parietal_area (Tpt)
138: Temporal_Lobe (Temporal),193: superior_temporal_region (STG/STSd),199: caudal_superior_temporal_gyrus (STGc),199: caudal_superior_temporal_gyrus (STGc),201: parabelt_areas_of_auditory_cortex (parabelt),202: caudal_parabelt_region (CPB)
138: Temporal_Lobe (Temporal),193: superior_temporal_region (STG/STSd),199: caudal_superior_temporal_gyrus (STGc),199: caudal_superior_temporal_gyrus (STGc),201: parabelt_areas_of_auditory_cortex (parabelt),203: rostral_parabelt_region (RPB)
138: Temporal_Lobe (Temporal),204: core_and_belt_areas_of_auditory_cortex (core/belt),205: belt_areas_of_auditory_cortex (belt),206: lateral_belt_areas (lat_belt),207: caudal_areas_of_the_lateral_belt (CL/ML),208: caudal_lateral_belt_region (CL)
138: Temporal_Lobe (Temporal),204: core_and_belt_areas_of_auditory_cortex (core/belt),205: belt_areas_of_auditory_cortex (belt),206: lateral_belt_areas (lat_belt),207: caudal_areas_of_the_lateral_belt (CL/ML),209: middle_lateral_belt_region (ML)
138: Temporal_Lobe (Temporal),204: core_and_belt_areas_of_auditory_cortex (core/belt),205: belt_areas_of_auditory_cortex (belt),206: lateral_belt_areas (lat_belt),210: rostral_areas_of_the_lateral_belt (AL/RTL),211: anterior_lateral_belt_region (AL)
138: Temporal_Lobe (Temporal),204: core_and_belt_areas_of_auditory_cortex (core/belt),205: belt_areas_of_auditory_cortex (belt),206: lateral_belt_areas (lat_belt),210: rostral_areas_of_the_lateral_belt (AL/RTL),212: lateral_rostrotemporal_belt_region (RTL)
138: Temporal_Lobe (Temporal),204: core_and_belt_areas_of_auditory_cortex (core/belt),205: belt_areas_of_auditory_cortex (belt),213: medial_belt_areas (med_belt),214: caudomedial_belt_region (CM),214: caudomedial_belt_region (CM)
138: Temporal_Lobe (Temporal),204: core_and_belt_areas_of_auditory_cortex (core/belt),205: belt_areas_of_auditory_cortex (belt),213: medial_belt_areas (med_belt),215: rostral_areas_of_the_medial_belt (RM/RTM),216: rostromedial_belt_region (RM)
138: Temporal_Lobe (Temporal),204: core_and_belt_areas_of_auditory_cortex (core/belt),205: belt_areas_of_auditory_cortex (belt),213: medial_belt_areas (med_belt),215: rostral_areas_of_the_medial_belt (RM/RTM),217: medial_rostrotemporal_belt_region (RTM)
138: Temporal_Lobe (Temporal),204: core_and_belt_areas_of_auditory_cortex (core/belt),218: polar_rostrotemporal_cortex (RTp),218: polar_rostrotemporal_cortex (RTp),218: polar_rostrotemporal_cortex (RTp),218: polar_rostrotemporal_cortex (RTp)
138: Temporal_Lobe (Temporal),204: core_and_belt_areas_of_auditory_cortex (core/belt),219: core_areas_of_auditory_cortex (core),219: core_areas_of_auditory_cortex (core),220: rostral_areas_of_the_core (R/RT),221: rostral_core_region (R)
138: Temporal_Lobe (Temporal),204: core_and_belt_areas_of_auditory_cortex (core/belt),219: core_areas_of_auditory_cortex (core),219: core_areas_of_auditory_cortex (core),220: rostral_areas_of_the_core (R/RT),222: rostrotemporal_core_region (RT)
138: Temporal_Lobe (Temporal),204: core_and_belt_areas_of_auditory_cortex (core/belt),219: core_areas_of_auditory_cortex (core),219: core_areas_of_auditory_cortex (core),223: primary_auditory_cortex (AI),223: primary_auditory_cortex (AI)
138: Temporal_Lobe (Temporal),224: floor_of_the_lateral_sulcus (floor_of_ls),224: floor_of_the_lateral_sulcus (floor_of_ls),225: insula_and_parainsula (Ins/Pi),226: parainsula (Pi),226: parainsula (Pi)
138: Temporal_Lobe (Temporal),224: floor_of_the_lateral_sulcus (floor_of_ls),224: floor_of_the_lateral_sulcus (floor_of_ls),225: insula_and_parainsula (Ins/Pi),227: insula (Ins),228: agranular_and_dysgranular_insula (Ia/Id)
138: Temporal_Lobe (Temporal),224: floor_of_the_lateral_sulcus (floor_of_ls),224: floor_of_the_lateral_sulcus (floor_of_ls),225: insula_and_parainsula (Ins/Pi),227: insula (Ins),228: agranular_and_dysgranular_insula (Ia/Id)
138: Temporal_Lobe (Temporal),224: floor_of_the_lateral_sulcus (floor_of_ls),224: floor_of_the_lateral_sulcus (floor_of_ls),225: insula_and_parainsula (Ins/Pi),227: insula (Ins),229: granular_insula (Ig)
138: Temporal_Lobe (Temporal),224: floor_of_the_lateral_sulcus (floor_of_ls),224: floor_of_the_lateral_sulcus (floor_of_ls),230: retroinsula (Ri),230: retroinsula (Ri),230: retroinsula (Ri)
231: Occipital_Lobe (Occipital),232: middle_temporal_area (MT),232: middle_temporal_area (MT),232: middle_temporal_area (MT),232: middle_temporal_area (MT),232: middle_temporal_area (MT)
231: Occipital_Lobe (Occipital),233: extrastriate_visual_areas_2-4 (V2-V4),234: visual_area_4 (V4),234: visual_area_4 (V4),235: dorsal_visual_area_4 (V4d),235: dorsal_visual_area_4 (V4d)
231: Occipital_Lobe (Occipital),233: extrastriate_visual_areas_2-4 (V2-V4),234: visual_area_4 (V4),234: visual_area_4 (V4),235: dorsal_visual_area_4 (V4d),235: dorsal_visual_area_4 (V4d)
231: Occipital_Lobe (Occipital),233: extrastriate_visual_areas_2-4 (V2-V4),234: visual_area_4 (V4),234: visual_area_4 (V4),235: dorsal_visual_area_4 (V4d),235: dorsal_visual_area_4 (V4d)
231: Occipital_Lobe (Occipital),233: extrastriate_visual_areas_2-4 (V2-V4),234: visual_area_4 (V4),234: visual_area_4 (V4),236: ventral_visual_area_4 (V4v),236: ventral_visual_area_4 (V4v)
231: Occipital_Lobe (Occipital),233: extrastriate_visual_areas_2-4 (V2-V4),237: preoccipital_visual_areas_2-3 (V2-V3),238: visual_area_3 (V3),239: visual_areas_V3d_and_V3A (V3d/V3A),240: visual_area_V3A (V3A)
231: Occipital_Lobe (Occipital),233: extrastriate_visual_areas_2-4 (V2-V4),237: preoccipital_visual_areas_2-3 (V2-V3),238: visual_area_3 (V3),239: visual_areas_V3d_and_V3A (V3d/V3A),241: dorsal_visual_area_3 (V3d)
231: Occipital_Lobe (Occipital),233: extrastriate_visual_areas_2-4 (V2-V4),237: preoccipital_visual_areas_2-3 (V2-V3),238: visual_area_3 (V3),242: ventral_visual_area_3 (V3v),242: ventral_visual_area_3 (V3v)
231: Occipital_Lobe (Occipital),233: extrastriate_visual_areas_2-4 (V2-V4),237: preoccipital_visual_areas_2-3 (V2-V3),243: visual_area_2 (V2),243: visual_area_2 (V2),244: possibly_part_of_visual_area_2 (possibly_V2)
231: Occipital_Lobe (Occipital),233: extrastriate_visual_areas_2-4 (V2-V4),237: preoccipital_visual_areas_2-3 (V2-V3),243: visual_area_2 (V2),243: visual_area_2 (V2),244: possibly_part_of_visual_area_2 (possibly_V2)
231: Occipital_Lobe (Occipital),233: extrastriate_visual_areas_2-4 (V2-V4),237: preoccipital_visual_areas_2-3 (V2-V3),243: visual_area_2 (V2),243: visual_area_2 (V2),245: clearly_part_of_visual_area_2 (clearly_V2)
231: Occipital_Lobe (Occipital),246: primary_visual_cortex (V1),246: primary_visual_cortex (V1),246: primary_visual_cortex (V1),246: primary_visual_cortex (V1),246: primary_visual_cortex (V1)
